Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;1;357;0,974795952;0,19020415;10
Scenario1;2;1;376;0,975247444;0,190575879;10
Scenario1;3;1;394;0,975827598;0,191287549;10
Scenario1;4;2;395;0,975846987;0,191607876;10
Scenario1;5;2;396;0,97631871;0,191814274;10
Scenario1;6;2;400;0,97644039;0,191843663;10
Scenario1;7;2;414;0,977236971;0,192006548;10
Scenario1;8;3;420;0,977385171;0,192935599;10
Scenario1;9;4;421;0,977469075;0,192997022;10
Scenario1;10;4;438;0,978596967;0,193645911;10
Scenario10;1;1;560;0,967705049;0,203215433;20
Scenario10;2;2;565;0,968037426;0,203569371;20
Scenario10;3;3;577;0,968446166;0,203821666;20
Scenario10;4;3;579;0,968476271;0,204300819;20
Scenario10;5;3;585;0,969876865;0,204348645;20
Scenario10;6;3;589;0,969950787;0,204588779;20
Scenario10;7;4;589;0,969966484;0,205237136;20
Scenario10;8;4;589;0,970073876;0,205322003;20
Scenario10;9;4;608;0,970242961;0,20580446;20
Scenario10;10;4;628;0,970320869;0,205868546;20
Scenario11;1;0;553;0,967152867;0,202320661;20
Scenario11;2;0;571;0,968037426;0,202906584;20
Scenario11;3;1;577;0,968747965;0,202976322;20
Scenario11;4;1;579;0,969633474;0,203215433;20
Scenario11;5;1;581;0,969683088;0,203303584;20
Scenario11;6;2;585;0,969737079;0,204588779;20
Scenario11;7;3;585;0,969806586;0,204803182;20
Scenario11;8;3;596;0,969966484;0,20516637;20
Scenario11;9;3;608;0,970073876;0,205322003;20
Scenario11;10;3;648;0,970761667;0,207038452;20
Scenario12;1;0;553;0,967152867;0,202472462;20
Scenario12;2;0;570;0,968037426;0,202906584;20
Scenario12;3;0;574;0,968066214;0,202976322;20
Scenario12;4;0;579;0,96916242;0,203215433;20
Scenario12;5;0;585;0,969299533;0,203804181;20
Scenario12;6;0;585;0,969633474;0,204088542;20
Scenario12;7;1;591;0,969737079;0,20442057;20
Scenario12;8;1;597;0,969961921;0,204442215;20
Scenario12;9;2;608;0,970135614;0,204835984;20
Scenario12;10;3;648;0,970479283;0,207038452;20
Scenario13;1;1;367;0,975499404;0,19025886;20
Scenario13;2;2;376;0,976291526;0,191291477;20
Scenario13;3;2;381;0,976431196;0,191297804;20
Scenario13;4;2;385;0,976657834;0,191329784;20
Scenario13;5;3;385;0,97674836;0,191786353;20
Scenario13;6;3;390;0,976977075;0,191967353;20
Scenario13;7;5;392;0,977152642;0,192081889;20
Scenario13;8;5;404;0,977840649;0,192458736;20
Scenario13;9;5;404;0,977893707;0,192474955;20
Scenario13;10;6;430;0,978217433;0,192708641;20
Scenario14;1;1;376;0,975499404;0,191067755;20
Scenario14;2;3;377;0,97613295;0,191186294;20
Scenario14;3;3;385;0,976431196;0,191189329;20
Scenario14;4;3;387;0,976433621;0,191291477;20
Scenario14;5;3;388;0,97659914;0,191297804;20
Scenario14;6;4;390;0,976742665;0,191359057;20
Scenario14;7;5;395;0,97674836;0,19163242;20
Scenario14;8;5;395;0,977764689;0,191967353;20
Scenario14;9;6;397;0,977840649;0,192708641;20
Scenario14;10;9;404;0,978136259;0,192753787;20
Scenario2;1;0;357;0,974795952;0,19020415;10
Scenario2;2;0;376;0,975519835;0,190814618;10
Scenario2;3;1;395;0,975682398;0,191080627;10
Scenario2;4;1;398;0,975827598;0,191287549;10
Scenario2;5;1;403;0,975846987;0,191607876;10
Scenario2;6;2;406;0,976106484;0,191843663;10
Scenario2;7;2;414;0,976544239;0,192108497;10
Scenario2;8;2;420;0,977236971;0,192935599;10
