Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;0;501;0,976228651;0,160728855;10
Scenario1;2;2;520;0,976379601;0,162220699;10
Scenario1;3;3;522;0,977251273;0,163168181;10
Scenario1;4;3;525;0,977360992;0,163267231;10
Scenario1;5;3;541;0,977395749;0,163701054;10
Scenario1;6;3;542;0,977487917;0,163965892;10
Scenario1;7;4;542;0,97752115;0,16440185;10
Scenario1;8;5;550;0,977749649;0,165146171;10
Scenario1;9;5;555;0,977888265;0,165300208;10
Scenario1;10;5;556;0,978523537;0,1664329;10
Scenario10;1;1;773;0,968935273;0,178589487;20
Scenario10;2;2;777;0,969024594;0,178789278;20
Scenario10;3;2;781;0,969510845;0,179912514;20
Scenario10;4;2;800;0,969536702;0,180152706;20
Scenario10;5;4;809;0,969947933;0,180290547;20
Scenario10;6;4;810;0,970070115;0,180679746;20
Scenario10;7;4;824;0,970487447;0,180711886;20
Scenario10;8;4;830;0,970882843;0,180876003;20
Scenario10;9;4;847;0,97122252;0,180942577;20
Scenario10;10;6;855;0,971794515;0,180968163;20
Scenario11;1;1;781;0,968935273;0,178589487;20
Scenario11;2;1;781;0,969217381;0,178672162;20
Scenario11;3;1;791;0,969536702;0,179426353;20
Scenario11;4;1;801;0,969607168;0,179796041;20
Scenario11;5;1;809;0,969726585;0,179819383;20
Scenario11;6;1;810;0,969887484;0,179912514;20
Scenario11;7;2;825;0,970070115;0,180486875;20
Scenario11;8;2;830;0,970487447;0,180679746;20
Scenario11;9;3;844;0,970757519;0,180716465;20
Scenario11;10;4;860;0,971006234;0,180876003;20
Scenario12;1;0;779;0,969217381;0,178672162;20
Scenario12;2;0;781;0,969240784;0,179426353;20
Scenario12;3;0;791;0,969502277;0,179572904;20
Scenario12;4;0;804;0,969648655;0,179738818;20
Scenario12;5;0;805;0,969887484;0,179819383;20
Scenario12;6;0;822;0,969911977;0,179912514;20
Scenario12;7;0;825;0,969996738;0,180234592;20
Scenario12;8;0;830;0,970272406;0,180252988;20
Scenario12;9;1;832;0,970487447;0,180657103;20
Scenario12;10;2;844;0,971006234;0,180750067;20
Scenario2;1;0;501;0,975544619;0,160728855;10
Scenario2;2;0;520;0,976379601;0,162220699;10
Scenario2;3;2;522;0,976811898;0,163168181;10
Scenario2;4;2;525;0,976821808;0,163267231;10
Scenario2;5;2;536;0,976905097;0,163965892;10
Scenario2;6;2;537;0,977251273;0,164096632;10
Scenario2;7;2;548;0,97752115;0,164098639;10
Scenario2;8;3;550;0,977749649;0,165096568;10
Scenario2;9;3;555;0,977888265;0,165146171;10
Scenario2;10;4;574;0,978523537;0,166058511;10
Scenario3;1;0;522;0,975544619;0,160728855;10
Scenario3;2;0;525;0,976379601;0,162540782;10
Scenario3;3;0;536;0,976811898;0,162893131;10
Scenario3;4;0;537;0,976821808;0,163267231;10
Scenario3;5;0;537;0,976905097;0,164096632;10
Scenario3;6;1;537;0,97691339;0,164098639;10
Scenario3;7;1;548;0,976943868;0,164772872;10
Scenario3;8;1;550;0,977251273;0,165096568;10
Scenario3;9;1;552;0,977666511;0,165146171;10
