Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;0;623;0,951926988;0,372250271;10
Scenario1;2;0;626;0,952259494;0,373541634;10
Scenario1;3;1;628;0,952665019;0,374925866;10
Scenario1;4;2;634;0,952831022;0,377217361;10
Scenario1;5;2;635;0,953307531;0,378043906;10
Scenario1;6;2;636;0,953311159;0,378126794;10
Scenario1;7;2;659;0,953863756;0,378437686;10
Scenario1;8;3;663;0,954132967;0,378573676;10
Scenario1;9;5;670;0,954872535;0,380001192;10
Scenario1;10;6;686;0,955049631;0,380102286;10
Scenario10;1;0;205;0,983076378;0,191545471;20
Scenario10;2;1;213;0,983401264;0,192649297;20
Scenario10;3;2;237;0,983962431;0,192867462;20
Scenario10;4;3;247;0,984095339;0,193123424;20
Scenario10;5;3;254;0,98415441;0,1931757;20
Scenario10;6;4;254;0,984317084;0,19362655;20
Scenario10;7;5;255;0,984419996;0,194260931;20
Scenario10;8;5;255;0,984493834;0,194487575;20
Scenario10;9;5;256;0,984597209;0,194529519;20
Scenario10;10;7;270;0,986472717;0,195413672;20
Scenario11;1;0;205;0,983593485;0,190676105;20
Scenario11;2;0;213;0,983918129;0,192867462;20
Scenario11;3;1;232;0,983962431;0,1931757;20
Scenario11;4;1;237;0,984080807;0,193546919;20
Scenario11;5;1;244;0,98415441;0,193795467;20
Scenario11;6;1;246;0,984361386;0,194260931;20
Scenario11;7;1;248;0,984419996;0,194529519;20
Scenario11;8;1;254;0,984597209;0,195413672;20
Scenario11;9;3;255;0,984818726;0,195845839;20
Scenario11;10;3;255;0,986472717;0,195991249;20
Scenario12;1;0;209;0,983593485;0,192683874;20
Scenario12;2;0;213;0,983918129;0,192867462;20
Scenario12;3;0;237;0,983962431;0,1931757;20
Scenario12;4;0;240;0,984080807;0,193546919;20
Scenario12;5;0;244;0,98415441;0,193795467;20
Scenario12;6;0;246;0,984169177;0,194156592;20
Scenario12;7;0;248;0,984361386;0,194260931;20
Scenario12;8;0;254;0,984419996;0,194529519;20
Scenario12;9;2;255;0,984597209;0,195845839;20
Scenario12;10;2;255;0,986280533;0,195991249;20
Scenario13;1;1;79;0,989969321;0,180134192;20
Scenario13;2;1;64;0,989281838;0,179720391;20
Scenario13;3;2;53;0,990303668;0,179416784;20
Scenario13;4;4;83;0,9894238;0,179799987;20
Scenario13;5;0;76;0,988594932;0,181366397;20
Scenario13;6;2;67;0,989655017;0,180806545;20
Scenario13;7;5;78;0,989366355;0,181579628;20
Scenario13;8;2;74;0,98913944;0,180983187;20
Scenario13;9;0;62;0,990297552;0,179180243;20
Scenario13;10;3;62;0,990650688;0,180312913;20
Scenario2;1;0;618;0,951020192;0,371776152;10
Scenario2;2;0;623;0,951926988;0,373735067;10
Scenario2;3;0;636;0,951954498;0,375460092;10
Scenario2;4;1;646;0,952259494;0,376000171;10
Scenario2;5;1;663;0,952793104;0,376407765;10
Scenario2;6;1;664;0,95330019;0,377217361;10
