Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;0;0;0,990519227;0,155240354;0
Scenario1;2;3;0;0,990667041;0,1562817;0
Scenario1;3;3;0;0,990873784;0,15634483;0
Scenario1;4;3;0;0,990903184;0,156683918;0
Scenario1;5;3;0;0,990991656;0,157063177;0
Scenario1;6;5;0;0,991124566;0,157221184;0
Scenario1;7;5;0;0,991346338;0,157567987;0
Scenario1;8;6;0;0,991375491;0,157697704;0
Scenario1;9;7;0;0,99139064;0,158110403;0
Scenario1;10;7;0;0,99167122;0,158292622;0
Scenario10;1;2;0;0,990430622;0,121819431;0
Scenario10;2;3;0;0,990460298;0,121975197;0
Scenario10;3;4;0;0,990622739;0,121999995;0
Scenario10;4;4;0;0,990667041;0,122142667;0
Scenario10;5;5;0;0,990711343;0,122538934;0
Scenario10;6;5;0;0,990770276;0,122874355;0
Scenario10;7;7;0;0,991405408;0,123069184;0
Scenario10;8;7;0;0,991553081;0,123138129;0
Scenario10;9;10;0;0,991685742;0,123603569;0
Scenario10;10;10;0;0,991715522;0,124172188;0
Scenario11;1;2;0;0,990888551;0,097274558;0
Scenario11;2;2;0;0,990962254;0,097835859;0
Scenario11;3;4;0;0,990977022;0,098028688;0
Scenario11;4;4;0;0,991213303;0,098062108;0
Scenario11;5;5;0;0,991301908;0,098080239;0
Scenario11;6;5;0;0,991316419;0,098533424;0
Scenario11;7;6;0;0,991479119;0,098762333;0
Scenario11;8;7;0;0,991567849;0,098939757;0
Scenario11;9;7;0;0,991670974;0,099466324;0
Scenario11;10;10;0;0,991833661;0,100653013;0
Scenario12;1;1;0;0,98961856;0,089321682;0
Scenario12;2;3;0;0,99072611;0,089386947;0
Scenario12;3;3;0;0,990991922;0,089772531;0
Scenario12;4;4;0;0,991080526;0,090099046;0
Scenario12;5;4;0;0,991109798;0,090208532;0
Scenario12;6;5;0;0,991198535;0,090235797;0
Scenario12;7;7;0;0,991272373;0,090589597;0
Scenario12;8;8;0;0,991538314;0,091143366;0
Scenario12;9;9;0;0,99167122;0,09142134;0
Scenario12;10;11;0;0,99211424;0,09262888;0
Scenario13;1;2;0;0,990002215;0,09555277;0
Scenario13;2;3;0;0,990224021;0,09657033;0
Scenario13;3;3;0;0,990858881;0,097182647;0
Scenario13;4;4;0;0,991065627;0,097450422;0
Scenario13;5;5;0;0,991124828;0,097496796;0
Scenario13;6;5;0;0,991346338;0,097557603;0
Scenario13;7;6;0;0,991361106;0,097772759;0
Scenario13;8;8;0;0,991567849;0,097841169;0
Scenario13;9;8;0;0,99167122;0,097927085;0
Scenario13;10;9;0;0,991966448;0,099563587;0
Scenario14;1;2;0;0,990342017;0,090398942;0
Scenario14;2;2;0;0,990755508;0,090686913;0
Scenario14;3;3;0;0,990799811;0,090871612;0
Scenario14;4;3;0;0,990859016;0,091009942;0
Scenario14;5;5;0;0,990947487;0,091221316;0
Scenario14;6;5;0;0,991080526;0,091559141;0
Scenario14;7;5;0;0,99116913;0,091908045;0
Scenario14;8;5;0;0,991302036;0,092073504;0
Scenario14;9;7;0;0,991375873;0,092314749;0
Scenario14;10;10;0;0,991582616;0,092925128;0
Scenario15;1;3;0;0,990652135;0,169639493;0
Scenario15;2;1;0;0,991685864;0,16846335;0
Scenario15;3;10;0;0,991892491;0,163569445;0
Scenario15;4;3;0;0,99100669;0,166059707;0
Scenario15;5;4;0;0,991183767;0,167340135;0
Scenario15;6;5;0;0,991124828;0,166682099;0
Scenario15;7;5;0;0,990725836;0,165737832;0
Scenario15;8;3;0;0,991833661;0,163975068;0
Scenario15;9;5;0;0,991670974;0,167004256;0
Scenario15;10;10;0;0,990858746;0,168350246;0
Scenario2;1;0;0;0,990371267;0,154190977;0
Scenario2;2;2;0;0,990696575;0,155548757;0
Scenario2;3;3;0;0,990784771;0,155584152;0
Scenario2;4;4;0;0,990829346;0,156505174;0
Scenario2;5;4;0;0,99100669;0,156536081;0
Scenario2;6;5;0;0,991169;0,156737035;0
Scenario2;7;5;0;0,991346211;0,156906144;0
Scenario2;8;6;0;0,991523296;0,157277754;0
Scenario2;9;8;0;0,991597383;0,157590087;0
Scenario2;10;8;0;0,991863075;0,158142545;0
Scenario3;1;1;0;0,990489692;0,200932008;0
Scenario3;2;2;0;0,990814579;0,201120338;0
Scenario3;3;2;0;0,990903318;0,20270453;0
Scenario3;4;3;0;0,990932853;0,202768145;0
Scenario3;5;3;0;0,990991922;0,20300947;0
Scenario3;6;3;0;0,991021324;0,203104667;0
Scenario3;7;3;0;0,99116913;0,20311826;0
Scenario3;8;6;0;0,991242838;0,203147894;0
Scenario3;9;7;0;0,991478993;0,204035978;0
Scenario3;10;7;0;0,991774591;0,204267335;0
Scenario4;1;2;0;0,990814579;0,12942325;0
Scenario4;2;3;0;0,990844114;0,129742154;0
Scenario4;3;3;0;0,990991523;0,13021521;0
Scenario4;4;3;0;0,990991922;0,13025443;0
Scenario4;5;3;0;0,991154363;0,130818548;0
Scenario4;6;3;0;0,991242967;0,130819481;0
Scenario4;7;4;0;0,991449584;0,130951047;0
Scenario4;8;6;0;0,991494012;0,131031925;0
Scenario4;9;8;0;0,991759824;0,131540091;0
Scenario4;10;8;0;0,992025401;0,131880481;0
Scenario5;1;3;0;0,990401229;0,113519117;0
Scenario5;2;3;0;0,990533995;0,114097941;0
Scenario5;3;3;0;0,990533995;0,114111531;0
Scenario5;4;3;0;0,990799811;0,114144058;0
Scenario5;5;4;0;0,991036224;0,114654662;0
Scenario5;6;4;0;0,991257476;0,115141105;0
Scenario5;7;9;0;0,991656329;0,115783449;0
Scenario5;8;9;0;0,991715522;0,115796079;0
Scenario5;9;9;0;0,991863195;0,116336063;0
Scenario5;10;9;0;0,991937032;0,117128348;0
Scenario6;1;1;0;0,990534135;0,128129587;0
Scenario6;2;1;0;0,990829482;0,128736416;0
Scenario6;3;3;0;0,990932853;0,129576848;0
Scenario6;4;4;0;0,991257734;0,129686046;0
Scenario6;5;4;0;0,991331571;0,129884621;0
Scenario6;6;4;0;0,991523421;0,130155727;0
Scenario6;7;5;0;0,991641685;0,130205666;0
Scenario6;8;5;0;0,991774348;0,130317264;0
Scenario6;9;5;0;0,991804005;0,130893845;0
Scenario6;10;7;0;0,992025518;0,131791573;0
Scenario7;1;2;0;0,990297857;0,193250143;0
Scenario7;2;3;0;0,990578437;0,194905632;0
Scenario7;3;4;0;0,990932853;0,195362384;0
Scenario7;4;5;0;0,99130178;0,195617342;0
Scenario7;5;5;0;0,991361106;0,19587867;0
Scenario7;6;5;0;0,99167122;0,195972295;0
Scenario7;7;6;0;0,991685987;0,19612611;0
Scenario7;8;7;0;0,991818893;0,196504135;0
Scenario7;9;9;0;0,991863195;0,197022726;0
Scenario7;10;10;0;0,992099473;0,197663154;0
Scenario8;1;1;0;0,990622462;0,130560601;0
Scenario8;2;3;0;0,990740467;0,131529711;0
Scenario8;3;3;0;0,990888282;0,131687256;0
Scenario8;4;4;0;0,990903318;0,131831518;0
Scenario8;5;4;0;0,991050727;0,132085816;0
Scenario8;6;5;0;0,991080395;0,132106897;0
Scenario8;7;7;0;0,991198665;0,132682436;0
Scenario8;8;8;0;0,991464099;0,132783575;0
Scenario8;9;9;0;0,991464351;0,132848346;0
Scenario8;10;10;0;0,991656453;0,1330081;0
Scenario9;1;2;0;0,990312625;0,194053748;0
Scenario9;2;2;0;0,990534135;0,196063863;0
Scenario9;3;3;0;0,990607971;0,196129533;0
Scenario9;4;4;0;0,990770412;0,196870753;0
Scenario9;5;4;0;0,990814714;0,196974805;0
Scenario9;6;5;0;0,990903318;0,197318209;0
Scenario9;7;7;0;0,990977155;0,19752158;0
Scenario9;8;7;0;0,991346083;0,197601083;0
Scenario9;9;7;0;0,99139064;0,197854126;0
Scenario9;10;9;0;0,991626918;0,198066513;0
