Scenario;Replication;InfectedArrivals;FalsePositives;DestInTime;TimeInQueue;AirportResources
Scenario1;1;5;0;0,991687762118865;0,335886807515034;0
Scenario1;2;5;0;0,991731790102077;0,336053929634303;0
Scenario1;3;8;0;0,99176322418136;0,33705180237966;0
Scenario1;4;8;0;0,991782219367514;0,337552312070699;0
Scenario1;5;10;0;0,991964786115956;0,337825245155389;0
Scenario1;6;10;0;0,992052996813642;0,337895309488569;0
Scenario1;7;10;0;0,992134859762472;0,33834521718324;0
Scenario1;8;11;0;0,992153602982387;0,338412012872431;0
Scenario1;9;13;0;0,99222917020888;0,338919572800838;0
Scenario1;10;14;0;0,99231747710986;0,339042440465447;0
Scenario2;1;8;0;0,992210425561391;0,246968636262265;0
Scenario2;2;9;0;0,992833753148615;0,251249712225249;0
Scenario2;3;11;0;0,992884220601756;0,251250816158533;0
Scenario2;4;11;0;0,992896770171472;0,251536096513094;0
Scenario2;5;12;0;0,992940850498423;0,251597027729673;0
Scenario2;6;12;0;0,993022757899775;0,252006956356719;0
Scenario2;7;13;0;0,993299790303588;0,252126274129261;0
Scenario2;8;13;0;0,993325021095452;0,25224420698427;0
Scenario2;9;14;0;0,993406884044282;0,253674089835126;0
Scenario2;10;16;0;0,993885467437438;0,254673000598842;0
Scenario3;1;7;0;0,991757030767874;0,333586948971423;0
Scenario3;2;9;0;0,991857785166434;0,334662981915578;0
Scenario3;3;9;0;0,991876574307305;0,335175588687487;0
Scenario3;4;10;0;0,991895517030749;0,336022642967229;0
Scenario3;5;11;0;0,991927053815443;0,336689254102955;0
Scenario3;6;11;0;0,992027758011599;0,336820666419417;0
Scenario3;7;13;0;0,99205919395466;0,337064565181915;0
Scenario3;8;13;0;0,992065591113462;0,337177560789965;0
Scenario3;9;13;0;0,992260802760671;0,337433926833407;0
Scenario3;10;14;0;0,992626037455448;0,337698232370562;0
Scenario4;1;7;0;0,992695306104457;0,249947252719234;0
Scenario4;2;8;0;0,992789717948879;0,250526309852967;0
Scenario4;3;8;0;0,99283379827583;0,250568227253034;0
Scenario4;4;8;0;0,992846437702296;0,250815333406139;0
Scenario4;5;10;0;0,992859032002116;0,251359108026884;0
Scenario4;6;10;0;0,992972380700495;0,251827085693002;0
Scenario4;7;12;0;0,993136063374916;0,251942597240741;0
Scenario4;8;12;0;0,993136106598154;0,253303382557643;0
Scenario4;9;13;0;0,993362803994912;0,254334608723744;0
Scenario4;10;16;0;0,993419395465995;0,254362833129568;0
Scenario5;1;7;0;0,948778660084004;0,638379495171303;0
Scenario5;2;7;0;0,948930114230299;0,64001345047824;0
Scenario5;3;9;0;0,949049760078588;0,641077750068489;0
Scenario5;4;9;0;0,949742130087342;0,641101711291553;0
Scenario5;5;10;0;0,950012909238607;0,642459582647255;0
Scenario5;6;10;0;0,950208435662019;0,642507116654237;0
Scenario5;7;11;0;0,950308564231738;0,643248234505589;0
Scenario5;8;11;0;0,950403647309228;0,643349936270304;0
Scenario5;9;14;0;0,950617439436779;0,643458927888253;0
Scenario5;10;15;0;0,950938905051574;0,645977611972827;0
Scenario6;1;12;0;0,993117128463476;0,264847680658185;0
Scenario6;2;7;0;0,993369101144822;0,262936792824667;0
Scenario6;3;6;0;0,992638585399336;0,264465851334187;0
Scenario6;4;9;0;0,993759524439239;0,265487341377312;0
Scenario6;5;15;0;0,992550471656528;0,265445381018739;0
Scenario6;6;7;0;0,993003778337532;0,263167543064215;0
Scenario6;7;12;0;0,993400545336616;0,264868995156902;0
Scenario6;8;12;0;0,993986221835997;0,262936857267075;0
Scenario6;9;4;0;0,992556721935;0,263793473242009;0
Scenario6;10;12;0;0,992248208460851;0,267180736228875;0
Scenario7;1;6;0;0,991782115869018;0,341561148508939;0
Scenario7;2;7;0;0,991920756665533;0,342007055041561;0
Scenario7;3;9;0;0,991958539564993;0,34209589231896;0
Scenario7;4;10;0;0,992065491183879;0,342467727914851;0
Scenario7;5;10;0;0,992122215855064;0,342468983875775;0
Scenario7;6;11;0;0,992153751212201;0,343933414935937;0
Scenario7;7;11;0;0,9922040793194;0,34397856863496;0
Scenario7;8;12;0;0,992298537162864;0,344664031091416;0
Scenario7;9;14;0;0,99229858566013;0,344742915210778;0
Scenario7;10;15;0;0,992342617489814;0,344764695519769;0
Scenario8;1;6;0;0,948677905050976;0,639826280202788;0
Scenario8;2;6;0;0,949295348925077;0,640395954888642;0
Scenario8;3;6;0;0,949515431263027;0,640460623584606;0
Scenario8;4;9;0;0,950214105793451;0,641029799494004;0
Scenario8;5;10;0;0,950245905252486;0,641671895527192;0
Scenario8;6;10;0;0,950265110011209;0,642783396454666;0
Scenario8;7;10;0;0,950290298610849;0,642869252528881;0
Scenario8;8;11;0;0,950397037802029;0,643511434890989;0
Scenario8;9;12;0;0,950498104557877;0,644415564471247;0
Scenario8;10;15;0;0,95145527134419;0,644597581524646;0
Scenario9;1;6;0;0,993117128463476;0,264847680658185;0
Scenario9;2;5;0;0,993369101144822;0,262936792824667;0
Scenario9;3;2;0;0,992638585399336;0,264465851334187;0
Scenario9;4;4;0;0,993759524439239;0,265487341377312;0
Scenario9;5;7;0;0,992550471656528;0,265445381018739;0
Scenario9;6;5;0;0,993003778337532;0,263167543064215;0
Scenario9;7;4;0;0,993400545336616;0,264868995156902;0
Scenario9;8;10;0;0,993986221835997;0,262936857267075;0
Scenario9;9;2;0;0,992556721935;0,263793473242009;0
Scenario9;10;5;0;0,992248208460851;0,267180736228875;0
